region_id,date,temperature,precipitation,humidity
R001,2025-01-01,24.77679081652223,40.63538987254949,60.98399285903028
R001,2025-01-02,21.208670268694892,18.57951864900903,52.40557864395086
R001,2025-01-03,18.921172476789238,19.117466272478996,63.06590701290116
R001,2025-01-04,28.626897047978876,1.1147907076679453,73.84733677677048
R001,2025-01-05,24.16296631556579,33.854722845303456,38.82379919246462
R001,2025-01-06,24.175357648500473,10.204956251975561,49.56362559874192
R001,2025-01-07,27.75892647509148,38.92102655021299,38.42214957506489
R001,2025-01-08,33.36756565444361,6.163857420099339,39.04218406330661
R001,2025-01-09,34.596849536762846,39.49383143569673,39.911325106183746
R001,2025-01-10,16.26848639601426,23.875829322121554,72.49839170568202
R001,2025-01-11,17.54469028947061,19.19105988432241,36.158409264659994
R001,2025-01-12,15.511761726717573,16.193927915337962,84.21835731597949
R001,2025-01-13,16.6777494859504,42.11581350164903,43.40139812088082
R001,2025-01-14,24.230867132982254,38.30300171587837,30.86666523119749
R001,2025-01-15,24.156837091296683,6.84488062245856,58.473784500421765
R001,2025-01-16,28.378796040313947,7.431836267024256,65.67536393892959
R001,2025-01-17,31.14655616280412,13.43464215918928,87.69010355392452
R001,2025-01-18,31.74857893525145,37.07197676463486,45.806110870882776
R001,2025-01-19,29.69853909125721,18.83964415149842,34.97729139503219
R001,2025-01-20,20.106929783655303,32.87105269428457,39.788327765802826
R001,2025-01-21,26.395839391176942,17.694070293174164,76.13075149966389
R001,2025-01-22,23.126694155264744,35.563053308377604,75.329769311201
R001,2025-01-23,20.066880167183005,19.38995719446963,49.99570211526553
R001,2025-01-24,27.475155383848392,14.768216366392823,44.423060630582754
R001,2025-01-25,34.89726442364775,15.582839973937663,65.1090879716165
R001,2025-01-26,15.17315094585708,17.941963659984527,41.4376507160012
R001,2025-01-27,15.955055284381592,32.63673168130693,45.093118399024846
R001,2025-01-28,34.00872464183128,22.558518593966014,89.89144985397613
R001,2025-01-29,33.89577753539339,31.979123405337518,61.75152489602745
R001,2025-01-30,30.006742277019725,20.782683428293147,89.73697932158555
R001,2025-01-31,23.831730210502037,12.819726977824503,60.599366882913884
R001,2025-02-01,25.65213373485285,45.9182337213886,35.70921621124506
R001,2025-02-02,22.745390602747896,48.37601700217752,46.480373913927416
R001,2025-02-03,24.23199471854875,17.92947966003677,70.82901340988761
R001,2025-02-04,18.506265227764402,24.617136720344195,48.55882474200813
R001,2025-02-05,24.645293956716174,44.33637390452551,52.31121426495799
R001,2025-02-06,29.842062644342,26.515008276567663,71.28743269447381
R001,2025-02-07,31.350932728144368,39.0679050018418,32.35159565764221
R001,2025-02-08,15.885347096603848,6.375868781338173,77.61562116321386
R001,2025-02-09,26.627251992919096,27.211000000405004,49.52130988244364
R001,2025-02-10,16.763925875079273,21.17532820254933,81.65941649958327
R001,2025-02-11,34.54438790795762,27.31913823020481,63.26929196142199
R001,2025-02-12,25.39049489132759,15.885413272220406,70.94797051249459
R001,2025-02-13,20.93717108031669,26.814868490131932,32.525560611681584
R001,2025-02-14,32.40994437397413,30.118429818196933,89.19845013556409
R001,2025-02-15,18.54258463971633,21.994841508881493,85.01704083741518
R001,2025-02-16,24.76203744786909,19.434576645164565,80.23909207592988
R001,2025-02-17,32.221313601101684,29.621943974453185,46.82570545623728
R001,2025-02-18,17.468381487449207,24.736095164067066,75.28996040657361
R001,2025-02-19,20.966065530847064,1.9555202856982645,38.061686252135445
R001,2025-02-20,15.894211277034094,22.78712005178381,47.328935320200955
R001,2025-02-21,23.664424176832576,39.801114334570705,85.4519647308392
R001,2025-02-22,16.37332692568894,32.81750106481498,89.87859872718533
